name,ID,age,birth_zoo,birthdate,child_as_father,child_as_mother,cur_zoo,dead_cause,deaddate,father,gender,image,mother,move_date1,move_date2,move_date3,move_zoo1,move_zoo2,move_zoo3,reading
クウタ,31,17,千葉市動物公園,2008年6月27日,"風菜 (https://www.notion.so/11f42aa6316c80038dc6f6b37b9c8fc5?pvs=21), 源太 (https://www.notion.so/11f42aa6316c80b08b06dc135b0c774f?pvs=21), まい (https://www.notion.so/11f42aa6316c80b28d94e72fbee3ca07?pvs=21), みい (https://www.notion.so/11f42aa6316c80f1bedccd5fe7d274fd?pvs=21), ゆい (https://www.notion.so/15542aa6316c80abbedff04b12493add?pvs=21), ゆう (https://www.notion.so/15542aa6316c80b38e05ea5bb6a9d199?pvs=21), メイタ (https://www.notion.so/15542aa6316c8046992ddc60bef5751f?pvs=21)",,千葉市動物公園,,2020年12月12日,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),オス,https://www.codaworry.com/images/submitted/Wf0u6FyADQA.jpg,チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),,,,,,,
コウタ,32,15,千葉市動物公園,2010年7月3日,"キャラ (https://www.notion.so/11f42aa6316c8085add8f7226044e9f7?pvs=21), メル (https://www.notion.so/11f42aa6316c802f9326c6223d2b5958?pvs=21), ケルー (https://www.notion.so/1f142aa6316c80f4bf94d0e6c6add267?pvs=21)",,チリ,,2017年8月21日,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),オス,"https://www.codaworry.com/images/submitted/VlNPGPQADQC.jpg, https://www.codaworry.com/images/submitted/VUTOTHWADQB.jpg",チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2012年12月17日,2015年5月1日,,こども動物自然公園,チリ,,
エイタ,33,15,千葉市動物公園,2010年7月3日,円美 (https://www.notion.so/11f42aa6316c80cabfc0d1952feedae6?pvs=21),,円山動物園,,,風太 (https://www.notion.so/11d42aa6316c80048117e5497d3f5ab0?pvs=21),オス,"https://www.codaworry.com/images/submitted/Vurz94-ADQA.jpg, https://www.codaworry.com/images/submitted/WoEea__ADQE.jpg, https://www.codaworry.com/images/submitted/Xxpv0r5ADSH.jpg, https://www.codaworry.com/images/submitted/YZAaT3HADQU.jpg, https://www.codaworry.com/images/submitted/WusD39CADQA.jpg",チィチィ (https://www.notion.so/11f42aa6316c8046a02ee69b287382c2?pvs=21),2013年10月28日,,,円山動物園,,,
賢健,34,19,徳山動物園,2006年7月18日,"優花_徳山 (https://www.notion.so/_-11f42aa6316c800181a0e4e1ceb58c76?pvs=21), スミレ_徳山 (https://www.notion.so/_-11f42aa6316c807789b4d6717e4402df?pvs=21), アヤメ (https://www.notion.so/11f42aa6316c8097835ffc0d624ef05e?pvs=21), カリン_徳山 (https://www.notion.so/_-11f42aa6316c80fb8636d61519cc02a4?pvs=21), イチゴ (https://www.notion.so/11f42aa6316c807a9110ee98304b8df7?pvs=21)",,野毛山動物園,,2022年3月26日,平 (https://www.notion.so/13942aa6316c80f0b00dc7cd74661d55?pvs=21),オス,"https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/authorc8504/184756dc4b230c1be75c89ea1d216767b7cad6df.jpg, https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/authorc8504/cc62a5f3ec8dea4bbd0cce3adf4155059f436dad.jpg, https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/authorc8504/d2e8bc1956b96df427435b35e6d3f401eaa2df1f.jpg, https://www.codaworry.com/images/submitted/WLl4kXmADQA.jpg",美美_池田 (https://www.notion.so/_-15542aa6316c809eb4b8e4c63bad9f86?pvs=21),2013年1月9日,,,野毛山動物園,,,ケンケン
メイメイ,37,18,多摩動物公園,2007年6月28日,,"風菜 (https://www.notion.so/11f42aa6316c80038dc6f6b37b9c8fc5?pvs=21), 源太 (https://www.notion.so/11f42aa6316c80b08b06dc135b0c774f?pvs=21), まい (https://www.notion.so/11f42aa6316c80b28d94e72fbee3ca07?pvs=21), みい (https://www.notion.so/11f42aa6316c80f1bedccd5fe7d274fd?pvs=21), アズキ (https://www.notion.so/13342aa6316c8081aef6c67da804a706?pvs=21), ダイズ (https://www.notion.so/13342aa6316c80aab550cbc5785233a7?pvs=21), ゆい (https://www.notion.so/15542aa6316c80abbedff04b12493add?pvs=21), ゆう (https://www.notion.so/15542aa6316c80b38e05ea5bb6a9d199?pvs=21), メイタ (https://www.notion.so/15542aa6316c8046992ddc60bef5751f?pvs=21)",千葉市動物公園,,,淡淡_多摩 (https://www.notion.so/_-13342aa6316c80f1ac1fe561640a2a1f?pvs=21),メス,https://www.codaworry.com/images/submitted/WB4kY6RADQA.jpg,花花 (https://www.notion.so/13242aa6316c809d9d62fee0c08b104e?pvs=21),2011年2月28日,,,千葉市動物公園,,,
優花_徳山,39,15,徳山動物園,2010年6月20日,,"優希 (https://www.notion.so/11f42aa6316c8090b9d2e43d0921e88e?pvs=21), 優砥 (https://www.notion.so/15242aa6316c8011b60ffdadd5f2504e?pvs=21), 砥々丸 (https://www.notion.so/15242aa6316c8011a4a8c184ee71f0ba?pvs=21)",とべ動物園,,2016年8月16日,賢健 (https://www.notion.so/11f42aa6316c8009a71dd3df7ce82af1?pvs=21),メス,https://www.codaworry.com/images/rpf/yuuka-tobe.jpg,風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21),2012年3月23日,,,とべ動物園,,,ユウカ
スミレ_徳山,40,14,徳山動物園,2011年7月12日,,,日本平動物園,,,賢健 (https://www.notion.so/11f42aa6316c8009a71dd3df7ce82af1?pvs=21),メス,"https://www.codaworry.com/images/submitted/WqVk96vADQA.jpg, https://livedoor.blogimg.jp/redpandalabo/imgs/5/7/5736e55e-s.jpg, https://pds.exblog.jp/pds/1/202403/22/02/a0306502_00143707.jpg, https://pds.exblog.jp/pds/1/202403/22/02/a0306502_00144391.jpg",風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21),2012年12月12日,,,日本平動物園,,,
アヤメ,41,14,徳山動物園,2011年7月12日,,"ルナ_石川 (https://www.notion.so/_-13d42aa6316c809fbe8ff62a7510513f?pvs=21), スミレ_いしかわ (https://www.notion.so/_-15742aa6316c80bd929ac47d8d5ad99c?pvs=21), マリン (https://www.notion.so/15742aa6316c80c8b3a8d3d9578e0038?pvs=21), サン (https://www.notion.so/15742aa6316c80288161ec73b391cc56?pvs=21)",いしかわ動物園,,,賢健 (https://www.notion.so/11f42aa6316c8009a71dd3df7ce82af1?pvs=21),メス,https://www.codaworry.com/images/submitted/YNm4mU7ADQA.jpg,風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21),2013年10月1日,,,いしかわ動物園,,,
カリン_徳山,42,13,徳山動物園,2012年7月28日,,ルカ (https://www.notion.so/19f42aa6316c8080b19ef98d432b6de7?pvs=21),上野動物園,,,賢健 (https://www.notion.so/11f42aa6316c8009a71dd3df7ce82af1?pvs=21),メス,https://www.codaworry.com/images/submitted/WN3EUHsADQA.jpg,風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21),2015年12月1日,2020年5月1日,,みさき公園,上野動物園,,
イチゴ,43,13,徳山動物園,2012年7月28日,,,野毛山動物園,,,賢健 (https://www.notion.so/11f42aa6316c8009a71dd3df7ce82af1?pvs=21),メス,"https://www.codaworry.com/images/submitted/W902qiFADQA.jpg, https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/authorc8504/6f43e70aff9b0a9637e4b635f92d0cce8e3101cc.jpg, https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/authorc8504/ed0113ff3857faf622b02f911d55c96d55d7b7e9.jpg",風花 (https://www.notion.so/11f42aa6316c800fa227f25878fbbbcf?pvs=21),2015年12月17日,2020年12月8日,,ズーラシア,野毛山動物園,,
